x,y
253 ,1185
253 ,1186
253 ,1187
253 ,1188
253 ,1189
253 ,1190
253 ,1191
253 ,1192
254 ,1193
254 ,1194
254 ,1195
254 ,1196
254 ,1197
254 ,1198
255 ,1199
255 ,1200
255 ,1201
255 ,1202
255 ,1203
255 ,1204
256 ,1205
256 ,1206
256 ,1207
256 ,1208
256 ,1209
256 ,1210
257 ,1211
257 ,1212
257 ,1213
257 ,1214
257 ,1215
257 ,1216
258 ,1217
258 ,1218
258 ,1219
258 ,1220
258 ,1221
258 ,1222
259 ,1223
259 ,1224
259 ,1225
259 ,1226
259 ,1227
259 ,1228
259 ,1229
260 ,1230
260 ,1231
260 ,1232
260 ,1233
260 ,1234
260 ,1235
261 ,1236
261 ,1237
261 ,1238
261 ,1239
261 ,1240
261 ,1241
262 ,1242
262 ,1243
262 ,1244
262 ,1245
262 ,1246
262 ,1247
263 ,1248
263 ,1249
263 ,1250
263 ,1251
263 ,1252
263 ,1253
263 ,1254
264 ,1255
264 ,1256
264 ,1257
264 ,1258
264 ,1259
264 ,1260
265 ,1261
265 ,1262
265 ,1263
265 ,1264
265 ,1265
265 ,1266
266 ,1267
266 ,1268
266 ,1269
266 ,1270
266 ,1271
266 ,1272
267 ,1273
267 ,1274
267 ,1275
267 ,1276
267 ,1277
267 ,1278
267 ,1279
268 ,1280
268 ,1281
268 ,1282
268 ,1283
268 ,1284
268 ,1285
269 ,1286
269 ,1287
269 ,1288
269 ,1289
269 ,1290
269 ,1291
270 ,1292
270 ,1293
270 ,1294
270 ,1295
270 ,1296
270 ,1297
271 ,1298
271 ,1299
271 ,1300
271 ,1301
271 ,1302
271 ,1303
272 ,1304
272 ,1305
272 ,1306
272 ,1307
272 ,1308
272 ,1309
273 ,1310
273 ,1311
273 ,1312
273 ,1313
273 ,1314
273 ,1315
274 ,1316
274 ,1317
274 ,1318
274 ,1319
274 ,1320
274 ,1321
275 ,1322
275 ,1323
275 ,1324
275 ,1325
275 ,1326
275 ,1327
275 ,1328
275 ,1329
275 ,1330
275 ,1331
275 ,1332
275 ,1333
275 ,1334
275 ,1335
275 ,1336
274 ,1337
273 ,1338
272 ,1339
271 ,1340
271 ,1341
271 ,1342
271 ,1343
271 ,1344
271 ,1345
271 ,1346
271 ,1347
271 ,1348
271 ,1349
271 ,1350
271 ,1351
271 ,1352
271 ,1353
271 ,1354
271 ,1355
271 ,1356
271 ,1357
271 ,1358
271 ,1359
271 ,1360
271 ,1361
271 ,1362
271 ,1363
271 ,1364
271 ,1365
271 ,1366
271 ,1367
272 ,1368
272 ,1369
272 ,1370
272 ,1371
272 ,1372
272 ,1373
272 ,1374
272 ,1375
273 ,1376
273 ,1377
273 ,1378
273 ,1379
273 ,1380
273 ,1381
273 ,1382
274 ,1383
274 ,1384
274 ,1385
274 ,1386
274 ,1387
274 ,1388
274 ,1389
275 ,1390
275 ,1391
275 ,1392
275 ,1393
275 ,1394
275 ,1395
275 ,1396
275 ,1397
276 ,1398
276 ,1399
276 ,1400
276 ,1401
276 ,1402
276 ,1403
276 ,1404
277 ,1405
277 ,1406
277 ,1407
277 ,1408
277 ,1409
277 ,1410
277 ,1411
278 ,1412
278 ,1413
278 ,1414
278 ,1415
278 ,1416
278 ,1417
278 ,1418
278 ,1419
279 ,1420
279 ,1421
279 ,1422
279 ,1423
279 ,1424
279 ,1425
279 ,1426
280 ,1427
280 ,1428
280 ,1429
280 ,1430
280 ,1431
280 ,1432
280 ,1433
280 ,1434
281 ,1435
281 ,1436
281 ,1437
281 ,1438
281 ,1439
281 ,1440
281 ,1441
282 ,1442
282 ,1443
282 ,1444
282 ,1445
282 ,1446
282 ,1447
282 ,1448
283 ,1449
283 ,1450
283 ,1451
283 ,1452
283 ,1453
283 ,1454
283 ,1455
283 ,1456
283 ,1457
284 ,1458
285 ,1459
285 ,1460
285 ,1461
285 ,1462
285 ,1463
285 ,1464
285 ,1465
285 ,1466
285 ,1467
285 ,1468
285 ,1469
285 ,1470
285 ,1471
286 ,1472
286 ,1473
287 ,1474
287 ,1475
287 ,1476
287 ,1477
287 ,1478
287 ,1479
287 ,1480
287 ,1481
287 ,1482
287 ,1483
287 ,1484
287 ,1485
288 ,1486
289 ,1487
289 ,1488
289 ,1489
289 ,1490
289 ,1491
289 ,1492
289 ,1493
289 ,1494
290 ,1495
291 ,1496
292 ,1497
292 ,1498
292 ,1499
292 ,1500
292 ,1501
292 ,1502
292 ,1503
292 ,1504
292 ,1505
292 ,1506
292 ,1507
292 ,1508
292 ,1509
292 ,1510
292 ,1511
292 ,1512
292 ,1513
292 ,1514
292 ,1515
292 ,1516
292 ,1517
292 ,1518
292 ,1519
292 ,1520
293 ,1521
294 ,1522
